No.;Time;Comment;Scramble;Date;P.1
1;10.72;;R2 B D2 U2 F D2 F R2 D2 R2 U2 R D2 U2 F D F D2 R' U';2020-12-26 21:32:25;10.72
2;12.56;;U' R2 F' D2 B F L2 B' R2 F L2 B R B D2 R' U B U2 R';2020-12-26 21:33:09;12.56
3;10.81;;L' B R2 D L' B U R U' L D2 R' F2 D2 L' F2 U2 R2 L' B2 R2;2020-12-26 21:33:37;10.81
4;17.37;;R U2 B2 F2 D L2 D U2 R2 U B2 L2 R' U2 L B D' U2 R' F D;2020-12-26 21:34:02;17.37
5;12.94;;L' D L2 B F2 L2 F' U2 R2 U2 L2 F' D2 L D' U2 B2 D' L U';2020-12-26 21:34:53;12.94
6;16.31;;B L2 U' R D2 U2 B2 L' U2 F2 R2 F2 L R' U B' D F' R U F';2020-12-26 21:35:16;16.31
7;13.79;;L' U2 B2 D2 B2 F2 L B2 D2 L R2 U2 F' L2 D R U R B' U L;2020-12-26 21:35:44;13.79
8;14.83;;U2 D2 L' F U2 D2 R D R2 U2 F2 R2 U L2 B2 D F2 L U2;2020-12-26 21:36:07;14.83
9;12.61;;R' U2 R B L' F' L D' F' U' B2 D F2 L2 U R2 U2 F2 B2 D' R2;2020-12-26 21:36:36;12.61
10;13.71;;F2 R2 D2 F2 U2 F2 L2 D2 F' D2 U L' B2 D L' R2 F U R';2020-12-26 21:37:01;13.71
11;13.13;;R2 U F2 L2 D2 B2 U2 F2 U2 R2 U' R F' D U' L B R2 D2 B2 D2;2020-12-26 21:37:34;13.13
12;11.73;;U' D' R2 D2 B R L2 F R2 F2 R2 U2 R2 F2 D2 F2 D L;2020-12-26 21:37:56;11.73
13;14.25;;D2 R F2 R2 F R2 U2 B2 F R2 B2 D2 R2 D' B2 F D' L B2 U2;2020-12-26 21:38:27;14.25
14;14.96;;F' U' F2 R F' L2 B2 D' L' U2 B2 R2 L2 U2 F D2 B L2 B;2020-12-26 21:38:51;14.96
15;10.48;;R2 F' D2 F2 D' L' U' F B R2 F B2 U2 D2 B L2 D2 R2 L' U';2020-12-26 21:39:26;10.48
16;13.54;;U2 D2 L2 U R' D B U' F2 D R2 F2 D L2 D L2 F2 D' B2 L U';2020-12-26 21:39:48;13.54
17;11.49;;F2 L2 D2 F U2 B' D2 F2 L2 U2 F' L' R' U' R F2 R' B2 R B';2020-12-26 21:40:12;11.49
18;12.97;;L' D F2 R2 D2 L B2 R' D2 L' B2 R' U' L B2 L' F R' U2;2020-12-26 21:40:45;12.97
19;13.42;;B2 U2 F2 U' B2 R2 U2 L2 F2 R2 D' L' D' B' L2 B2 R B R2 U2;2020-12-26 21:41:20;13.42
20;14.55;;U2 F2 U' B2 D' F2 U2 F2 L2 U F2 U L D L' R D2 L' B L' U';2020-12-26 21:41:49;14.55
21;12.57;;F2 D' R' F' U B2 R2 D' L' D' L2 U2 L2 D' F2 L2 B2 U F2 U';2020-12-26 21:42:21;12.57
22;13.43;;L2 R2 D U2 F2 D2 R2 U' B2 U' B U' B' R' B2 F' D2 R D2 R2;2020-12-26 21:42:51;13.43
23;13.36;;L U2 R U F R2 D' F D2 R2 D2 L2 B D2 R2 B2 R2 F B2 D' L';2020-12-26 21:43:16;13.36
24;15.12;;R' D' R2 U' R2 B2 R2 U2 L2 U R2 F2 B' L F2 L' U2 F2 U' L';2020-12-26 21:43:42;15.12
25;13.22;;U2 B L' F2 R2 F' U2 B' L2 F' L2 R D B' F R2 U2 B';2020-12-26 21:44:07;13.22
26;12.93;;B2 L2 U' L2 B2 R2 U F2 D B2 L2 D' B' L' U' B' F2 D' L' R' F';2020-12-26 21:44:34;12.93
27;16.71;;B L2 U' R' B2 R' L2 U' D2 F' D2 F2 D2 L2 B2 R2 B2 U2 B' L2;2020-12-26 21:45:02;16.71
28;15.45;;U2 R2 U2 F U2 B' F2 D2 B' L2 D' L R' D2 B' L F D L' F';2020-12-26 21:45:40;15.45
29;11.72;;D' B L2 F' D2 F R2 F D2 F2 U2 B2 U L U R' B' F' U' F L2;2020-12-26 21:46:07;11.72
30;15.50;;U2 F D' L' F' B D B2 R F2 U2 R D2 F2 D2 R' F2 R' F2 U;2020-12-26 21:46:30;15.50
31;11.60;;B2 R2 F D2 R2 D2 F2 R2 F' U2 B' F' L' F' D2 U' R D' R2 D' U';2020-12-26 21:46:57;11.60
32;13.40;;U L' U' R' F2 U2 D' B U' R' B2 U2 D2 R' D2 L' U2 F2 U2 R2;2020-12-26 21:47:37;13.40
33;13.09;;R2 D' L2 F U2 B2 U2 R2 B L2 R2 D2 F' L2 U' B L' D' B2 D F;2020-12-26 21:48:04;13.09
34;9.53;;F' B L' B R2 U F' L' F2 B2 U B2 R2 U2 F2 D' F2 L2 B2 D' F';2020-12-26 21:48:29;9.53
35;13.18;;U' F2 D' L2 R2 D' L2 U B2 D2 B2 U' F' U' F2 L' R2 D' R U' B;2020-12-26 21:48:55;13.18
36;13.91;;R2 F' L2 D2 F L2 B' D2 B2 U' R D' F L' F2 R2 B' F2 L';2020-12-26 21:49:24;13.91
37;14.23;;D2 L2 U2 B2 L2 F2 D' B2 U' R2 B2 U' R' U L B2 U2 L' F L' R;2020-12-26 21:49:48;14.23
38;16.14;;B2 U' D2 F R2 B' L D R L2 U2 D2 R' B2 D2 F2 D2 L2 B2 R U';2020-12-26 21:50:18;16.14
39;13.05;;F D' L2 F2 L2 D U L2 F2 D' U2 L2 U' F L' B U2 R' D L2 U;2020-12-26 21:50:45;13.05
40;13.63;;U2 B U2 R2 F U2 B2 L2 U2 F' L2 F2 D L R U' F' D U' L B;2020-12-26 21:51:08;13.63
41;12.86;;L' F2 U B2 F2 L2 D' B2 D' F2 L2 F2 D' L' D' U' F' L2 D B2 R';2020-12-26 21:51:34;12.86
42;13.62;;B2 L2 F2 D2 U2 L' D2 B2 R U2 B2 D' B' L B2 U' L R' U F';2020-12-26 21:52:06;13.62
43;13.19;;U' F' B' U L' D' L' U R F2 L2 F' D2 R2 L2 B R2 D2 F2 R2 B';2020-12-26 21:52:29;13.19
44;14.46;;L' F B U L2 F2 D' F U2 B' U2 D2 L2 B' R2 F2 R' D';2020-12-26 21:52:51;14.46
45;12.78;;F' R' B' U' L F2 D' B2 L' F2 D2 R F2 D2 L2 U2 D2 F2 L D R';2020-12-26 21:53:20;12.78
46;15.42;;R2 F' B D B' D L' F U' R2 D R2 B2 D' B2 R2 D2 R2 D2 L2;2020-12-26 21:53:43;15.42
47;12.86;;U R2 B L2 D B2 D R2 F2 U2 R2 B2 R2 F D L' U' B2 D2;2020-12-26 21:54:11;12.86
48;13.42;;F2 D2 F2 D2 L B2 L2 F2 U2 R' B2 L U F2 L B F' L' D F;2020-12-26 21:54:34;13.42
49;11.82;;D2 R U' F' U2 B2 L2 F' R2 U2 L2 F2 D2 B' L' D F2 U' L' U L2;2020-12-26 21:55:04;11.82
50;14.25;;L D2 B' R2 B U2 F' R2 D2 F' L2 B U2 R' U' B' D2 R2 D' L';2020-12-26 21:55:28;14.25
51;12.45;;F2 R D2 U2 B2 U2 L' F2 L B2 R2 F2 B U' L' F' U' B' U2 L';2020-12-26 21:55:56;12.45
52;14.19;;R2 U' F2 L2 F2 U' L2 D2 B2 R2 D2 F' R D L' B F2 U' L' U2 R;2020-12-26 21:56:19;14.19
53;16.62;;R2 U R2 U' B2 L2 U R2 U' F D' U' R2 D2 L' B' R U;2020-12-26 21:56:41;16.62
54;12.42;;F2 B' U' D F B2 R F2 U B2 L2 U' R2 L2 F2 U' L2 D' L U2;2020-12-26 21:57:10;12.42
55;12.49;;L D2 R F2 R F2 R F2 L' F2 U2 F2 U' L F2 D2 F R D2 U' R';2020-12-26 21:57:34;12.49
56;13.95;;B' R2 B D2 F2 D2 B U2 F' U2 R2 U' L' R' B' D2 U B' D2 U;2020-12-26 21:58:02;13.95
57;11.25;;U2 R2 D2 R' F2 R' D2 R F2 R' B2 U2 B F D L D2 R' D' U R';2020-12-26 21:58:34;11.25
58;16.32;;F2 R' D' B' D R' D' L F' R B2 R2 D2 F2 D2 F2 L D2 L U2 F2;2020-12-26 21:59:06;16.32
59;11.65;;U F' L2 F U2 L2 B2 L2 F L2 R2 F U' L D B' F2 L' R2 U2;2020-12-26 21:59:34;11.65
60;12.55;;D2 F' B2 L2 U2 R U2 B2 L2 B2 F2 R' D B D2 F L' F2 D';2020-12-26 21:59:58;12.55
61;12.15;;B R U R2 B2 L2 U2 F2 U' R2 U L2 D' L2 F R B' R' F' L B;2020-12-26 22:00:22;12.15
62;12.69;;D' B2 U' F2 D B2 D' B2 R2 U F2 B U2 L U' R2 B' U' F D R;2020-12-26 22:00:51;12.69
63;13.29;;F B2 D L2 B2 L2 U L2 U F2 U2 F2 R B L2 R U' B L F';2020-12-26 22:01:13;13.29
64;13.75;;R' F2 L2 F' D2 B' R2 D2 L2 B' D2 F' L B2 U' F R U2 F2 R2;2020-12-26 22:01:42;13.75
65;17.78;;D' R2 D F2 D' R2 U2 L2 B2 R2 D F' L2 U F' U B2 D R;2020-12-26 22:02:06;17.78
66;13.66;;U F U2 B2 D2 L' U2 R' F U R2 B2 U' L2 D2 B2 U' B2 D' F2;2020-12-26 22:02:34;13.66
67;12.71;;F R' B2 R B U D F' R' B2 R2 B2 D L2 U2 R2 U F2 D F2 U;2020-12-26 22:03:04;12.71
68;13.06;;B2 L' U F2 L' U' B' R' L B2 U2 R2 F D2 R2 F2 R2 L2 B' R2;2020-12-26 22:03:28;13.06
69;13.39;;D2 F2 B' U2 R' F2 B2 U F' U' F2 D2 B2 R2 U2 F2 D F2 U F2;2020-12-26 22:03:54;13.39
70;13.66;;L D B2 R2 D2 R B U2 F2 R B2 U2 D2 R' D2 R' F2 L' F2 B' U;2020-12-26 22:04:19;13.66
71;13.91;;F' U2 F U2 F' D2 L2 B' R2 F' D F U' L B' R F2 R B2 U2;2020-12-26 22:04:43;13.91
72;12.02;;L' U D F R' U F R2 F D2 B2 L2 D B2 L2 D F2 R2 U L2;2020-12-26 22:05:07;12.02
73;12.05;;B2 R2 F2 L2 F2 D' L2 U2 F2 D' B2 F' U L' U2 B2 F D' B L U2;2020-12-26 22:05:33;12.05
74;10.41;;U2 L2 B2 D2 L U2 L' B2 F2 R2 B2 F D2 R D U2 F2 L2 B;2020-12-26 22:05:53;10.41
75;12.25;;B2 F L U2 F2 L B2 L' F2 L2 D2 U' L' B D U' F' D2 L;2020-12-26 22:06:17;12.25
76;13.12;;F2 R2 D R2 U F2 L2 B2 U F2 U' L U2 L D2 F2 D2 B' D2 F2;2020-12-26 22:06:43;13.12
77;10.93;;F L' B R D2 R B2 D' F' U2 D2 F U2 B2 L2 B2 R2 B' L';2020-12-26 22:07:10;10.93
78;14.12;;U2 L D L2 R2 D' F2 R2 U2 F2 R2 U2 B' L' F' U' B2 R U2 B2 D';2020-12-26 22:07:45;14.12
79;9.02;;L' D' L F2 D' B D2 L U F B U2 R2 B2 R2 B L2 F U2 B2 L2;2020-12-26 22:08:12;9.02
80;13.72;;B R2 U2 F2 L2 U L2 D' B2 R2 B2 U' R' D' F' D' B' U2 B' L U2;2020-12-26 22:08:41;13.72
81;12.59;;B2 F2 U F2 D B2 L2 F2 R2 D L' D2 L' D2 U R2 B' D' U R';2020-12-26 22:09:07;12.59
82;10.48;;R' L2 D F2 L2 U' L2 D L2 D L2 D2 L B U L' R' F2 R2 F D';2020-12-26 22:09:30;10.48
83;12.79;;U2 F L2 B2 D2 F R2 D2 F2 U2 F2 D L2 R F L F2 D' L2 F;2020-12-26 22:09:59;12.79
84;9.27;;R' F2 D2 R F2 U' L D2 R2 B R2 L2 D2 F2 R2 B' R2 B' D' F;2020-12-26 22:10:22;9.27
85;12.95;;D' R2 B2 R' U' R' L2 B' L F' R2 F R2 F' U2 B' L2 U2 D2 F2 L2;2020-12-26 22:11:03;12.95
86;11.15;;R B2 F L2 U' L2 D' R2 F2 D' B2 R2 L' U' B' F' L' B2 U' L';2020-12-26 22:11:28;11.15
87;14.30;;D' B' R2 U L2 F2 L2 D' R2 D' U L' F' D L R2 U2 B U';2020-12-26 22:11:53;14.30
88;12.76;;U2 F R2 D F2 D2 B2 U' F2 D B2 D2 R2 F2 R' F2 U' R D2 L B;2020-12-26 22:12:20;12.76
89;14.83;;F' R' F' U2 L2 R2 B2 R2 B R2 D2 L2 D L R D' B' D2 R F';2020-12-26 22:12:43;14.83
90;14.36;;F' D2 U2 L2 F D2 B F2 L2 B2 F' R F L' D2 R2 B' U' F R2;2020-12-26 22:13:12;14.36
91;13.19;;F2 R2 U2 F' D2 B2 L2 D2 B2 F' L2 R' U' F' L B' U' B2 D2 F L;2020-12-26 22:13:41;13.19
92;13.20;;U L2 U2 R2 D' L2 F2 R2 U' L2 U2 B2 F' L B U B F2 U' R F;2020-12-26 22:14:06;13.20
93;14.09;;B2 D B2 L2 U2 B2 R2 D' L2 F2 R2 B2 F' L' B' F' L' B' U' L' U;2020-12-26 22:14:35;14.09
94;13.08;;D2 R' F2 D F2 L D' L2 B U2 F2 D' B2 D' F2 U F2 D' R2 F2 L2;2020-12-26 22:15:00;13.08
95;12.71;;F2 U2 F2 U2 R2 B2 F2 D B2 R2 U' R' D2 U B L2 R U2 B' U2;2020-12-29 19:11:47;12.71
96;15.64;;F' L B2 R' F2 R U2 R' D2 L D2 B2 D' F2 R F D2 B L' U;2020-12-29 19:12:38;15.64
97;12.76;;D F U F' L2 U' B U D B2 U R2 D' R2 D' F2 U' R2;2020-12-29 19:13:08;12.76
98;12.19;;B U2 F U2 L2 B R2 B2 U2 B' L2 F' L D2 F L2 D' F' D' U F2;2020-12-29 19:13:32;12.19
99;11.62;;F2 D' R2 L D' L' U2 F' R' U2 F' B2 U2 R2 F2 D2 R2 B' U2 R2;2020-12-29 19:13:57;11.62
100;11.28;;U2 B D2 F' U2 R2 B' L2 F U2 D L2 R D' B D' B2 U F2;2020-12-29 19:14:22;11.28
101;12.28;;B L2 B D2 U2 F R2 F D2 R2 D' R' B L F2 R B2 D R U';2020-12-29 19:14:51;12.28
102;12.76;;F2 D' B D2 B2 F2 U R2 D L2 F2 L2 R2 D2 B F' L' B' U2 B' R;2020-12-29 19:15:20;12.76
103;13.86;;F' D2 F' L2 R2 F2 U2 F U2 F2 L2 D' B2 F L' R B' L F U;2020-12-29 19:15:48;13.86
104;11.90;;L U2 L U2 R F2 R D2 R U2 F2 R2 D' F2 U F L2 D2 L B' F';2020-12-29 19:16:30;11.90
105;13.29;;L2 R2 F D2 B L2 F' L2 B L2 F' R' D' L2 D' U R2 B' R2 F;2020-12-29 19:16:59;13.29
106;13.49;;D' B2 L2 D2 R B2 D2 R F2 R B2 U2 F R2 U' B' D2 L' F2 L2;2020-12-29 19:17:27;13.49
107;11.69;;D2 R F U2 L2 D2 B2 R2 B U2 F' D2 B' F2 L' D R' B F D B;2020-12-29 19:18:06;11.69
108;13.44;;R2 F2 D2 U2 B U2 F D2 B R2 B2 F' L' U' L R' F' D' R2 U F;2020-12-29 19:18:37;13.44
109;14.71;;R' L2 D R2 B' L' B U' F' U' R2 U' B2 R2 D2 F2 R2 U' F2 B2 D2;2020-12-29 19:19:05;14.71
110;11.51;;B' L2 D2 F2 U' L' D R' F2 U F2 U B2 D F2 D F2 U2 L2 D;2020-12-29 19:20:00;11.51
111;10.15;;U2 D L F D B' L' U2 B U2 R2 D2 R2 L U2 B2 R' U2 L B2;2020-12-29 19:20:23;10.15
112;13.44;;D R L' F B' U2 R B' R2 L2 D R2 B2 L2 U' L2 U F2 R2 B L2;2020-12-29 19:21:33;13.44
113;20.75;;F2 L2 U2 L F2 R D2 F2 R D2 L F' D' L' B' R' D' U L' B U2;2020-12-29 19:21:59;20.75
114;18.19;;U F2 B' L2 F2 U' B' U' L U2 F2 R' U2 L2 D2 F2 L F2 R2;2020-12-29 19:22:33;18.19
115;12.18;;U2 F2 D2 F' L2 F' U2 L2 F2 R2 U' L D2 U' B2 L' U F' D' U;2020-12-29 19:23:02;12.18
116;11.52;;R L2 U2 R D F' D2 B L2 D2 F2 R B2 R F2 L F2 B2 L;2020-12-29 19:23:27;11.52
117;13.92;;R2 U' F2 U2 F2 R2 F2 U R2 D B2 L2 R' U R B' F2 U' F2 L' F';2020-12-29 19:23:52;13.92
118;15.30;;R U' D' R' F L2 U R2 U2 B2 R D2 B2 R' U2 L B2 L U B';2020-12-29 19:24:21;15.30
119;14.89;;B U2 F' L2 F2 D2 L2 B' L2 R2 D2 B L' U' B' L2 F' L2 B' R' U';2020-12-29 19:25:17;14.89
120;11.64;;D F B2 U L2 D' L2 U F2 D' B2 U' L2 R D' B R2 D' F2 L B';2020-12-29 19:26:06;11.64
121;11.74;;D2 L' U2 L2 U2 B U2 F U2 R2 B U2 R2 F U L D' F R2 U' B;2020-12-29 19:26:30;11.74
122;10.30;;L F2 L2 U2 R2 D2 L' F2 L F2 U2 R2 D' B L2 B' L' D' F2 L';2020-12-29 19:26:55;10.30
123;14.94;;R F2 L B' R' U B D' F B R U2 R F2 L F2 D2 F2 L' F2 U2;2020-12-29 19:27:21;14.94
124;13.94;;B' F2 R' B2 L D2 R' D2 B2 R U2 B2 U2 F' U L D F2 D' B';2020-12-29 19:27:49;13.94
125;14.87;;D2 F2 U B2 D L2 D2 F2 D2 B D' L' B' F2 L' U2 B2 U;2020-12-29 19:28:19;14.87
126;15.26;;L2 U' B2 L2 U' F2 U2 F2 U' R2 L B D2 U2 R2 U' B' D' B' R';2020-12-29 19:28:55;15.26
127;10.18;;L D' B2 R2 U R2 F2 R2 U' L2 R' D' F R' U' B' D L' D2;2020-12-29 19:29:26;10.18
128;12.80;;U' R F D L2 U F2 D2 F2 U2 F2 R2 D R' D B' R2 D' F D;2020-12-29 19:29:51;12.80
129;14.19;;B2 D' B' U2 B2 R2 F U2 F2 L2 F R2 F' R U B2 D' U B2 R2;2020-12-29 19:30:14;14.19
130;13.77;;L' B2 D' F2 D' B2 D' B2 L2 B2 U2 L2 B U2 F' U' L' B2 F2 R2 U;2020-12-29 19:30:55;13.77
131;9.65;;D R2 U' B2 U' B2 U L2 F2 U2 F2 B D2 B L B F L D' R' F;2020-12-29 19:31:40;9.65
132;14.21;;R2 B2 L2 R2 F U2 R2 F D2 U2 B2 R' F U L' R2 F R' U2 F;2020-12-29 19:32:08;14.21
133;14.37;;R2 D2 F2 R' D2 R' F2 R B2 U2 D B' U' B2 R' D2 L2 F2 D2;2020-12-29 19:33:16;14.37
134;14.13;;L' D F' B2 R B' L F' D' R2 F2 R2 F' D2 F B2 U2 B' D2 L2 F;2020-12-29 19:33:46;14.13
135;13.25;;D' F' D B2 D' F2 R2 D R2 U' B2 D U2 R' B L U' R D2 R2;2020-12-29 19:34:15;13.25
136;11.46;;U' R2 U' L' B' R B2 D' R U2 B2 L U2 L2 B2 U2 L B2 L F2;2020-12-29 19:34:39;11.46
137;12.54;;U2 B2 U L' F D' B2 U' B' U2 R' D2 R' U2 R' B2 U2 R2 F2 R;2020-12-29 19:35:03;12.54
138;12.43;;D' R F' R' U2 F B2 D B' L2 F' D2 F' D2 L2 D2 F' D2 L;2020-12-29 19:35:30;12.43
139;15.12;;B2 D B2 R2 D' F2 D B2 U F2 L2 R D U2 F' R D' B2 U F';2020-12-29 19:35:54;15.12
140;11.52;;L' U' F2 D L2 D L2 B2 D2 R2 B2 R2 F' R' B' F D2 B' U' B;2020-12-29 19:36:24;11.52
141;13.23;;B2 D B2 U2 F2 L2 F2 U L2 U' R2 D' R' D2 F' L2 B2 D B2 F' L;2020-12-29 19:36:49;13.23
142;13.16;;U2 B' L2 R2 D2 B2 R2 B' U' B L' U' F2 U L' U' L F';2020-12-29 19:37:27;13.16
143;11.00;;L2 F2 R2 F U2 F' D2 U2 F2 L2 F2 L U' F' R2 D' L R' B' L';2020-12-29 19:38:56;11.00
144;17.76;;B U2 B2 R2 F' R2 U2 F R2 B L R D U2 L' U B R2 D R';2020-12-29 19:39:27;17.76
145;16.66;;U' B2 L2 U F2 L2 F2 D' F2 D U B' D2 L B' R' D B' L2 U;2020-12-29 19:40:00;16.66
146;15.61;;U B' R' F U L B U' R F' L2 F U2 F' B2 L2 U2 B2 D2 B' U2;2020-12-29 19:40:38;15.61
147;14.63;;U F2 U2 L F2 R F2 L2 D2 L' F2 R B U L U2 F U L2 D2;2020-12-29 19:41:05;14.63
148;12.53;;R B' D B2 U L2 D2 U' L2 B2 D2 F2 L D2 U' B' U2 F L' U;2020-12-29 19:41:34;12.53
149;12.08;;R2 U B2 D' L2 R2 D F2 L2 F2 U2 L' D' B2 F2 L' B2 F' U' R D';2020-12-29 19:42:01;12.08
150;11.59;;F2 U F L B' U F' L' F' B2 U' R2 B2 U' L2 U' F2 D F2 B2;2020-12-29 19:42:45;11.59
151;11.40;;R2 F2 D R2 U R2 B2 D2 R2 D' U' B R B2 R2 D2 U2 F2 U' R;2020-12-29 19:43:13;11.40
152;10.12;;B2 F2 D' R2 F2 D2 R2 F2 U R2 L' U R U L2 F' D U F2 L;2020-12-29 19:43:35;10.12
153;12.55;;R2 B D2 L2 F' U2 L2 B F U2 R2 B2 R B2 D F' L' U2 F' L2 R;2020-12-29 19:43:59;12.55
154;15.06;;R2 U2 L2 D F' R U2 F L' U2 L' U2 D2 F2 R B2 L2 D2 R D;2020-12-29 19:44:26;15.06
155;13.52;;F L' R2 U' R2 B2 F2 U L2 U F2 D2 U2 R' F2 D L F R2 D R;2020-12-29 19:44:52;13.52
156;13.64;;D' F2 B' R B L F U F' D2 F B2 U2 B2 D2 L2 F D2 F' R2 L;2020-12-29 19:45:18;13.64
157;12.80;;D R U2 D2 B' U F U2 L2 B L2 B R2 U2 F R2 U2 F' D;2020-12-29 19:45:41;12.80
158;11.98;;D F' B2 D2 F2 U2 L B2 R' D2 R B2 R2 U' B2 U L2 B U F';2020-12-29 19:46:11;11.98
159;12.17;;F L2 R2 F' R2 B' L2 R2 F2 D2 R' F' U' F D' B R' B2 R2;2020-12-29 19:46:35;12.17
160;13.07;;U R2 U R2 F2 D' L2 B2 U' L2 D2 R2 F R U2 B' D2 F2 D';2020-12-29 19:47:00;13.07
161;12.29;;U L2 F' L2 F2 D2 B2 F2 R2 D2 F D B2 L D' R' U2 F D';2020-12-29 19:47:33;12.29
162;12.90;;B R2 B2 U2 R2 U2 L2 R2 U' L2 B2 R' D2 B L F2 R2 D R B;2020-12-29 19:47:56;12.90
163;11.40;;B U' B' L2 R2 B R2 F2 D2 F' L2 R2 U2 R' U' R D L B' R2 D;2020-12-29 19:48:21;11.40
164;12.05;;D2 L2 B2 U2 R' F2 L' D2 F2 R F2 L' F' D L' F L2 B' L' U R;2020-12-29 19:48:42;12.05
165;15.24;;D R2 B' U' B' D L B' U R2 U R2 D2 F2 R2 D2 R2 D2;2020-12-29 19:49:06;15.24
166;14.69;;D2 R2 B' L2 B R2 F L2 B2 D2 L2 R' F' R2 B L' B' D' U' L' U';2020-12-29 19:49:59;14.69
167;11.52;;D2 L2 F' U2 L2 R2 F D2 B F' U2 L' R B U2 L D F' R' B2 D2;2020-12-29 19:50:33;11.52
168;13.58;;U' L2 D2 U2 B R2 U2 R2 D2 B L2 D' L' B' R2 B' D B';2020-12-29 19:50:54;13.58
169;13.56;;L D U L2 F2 U' B2 U L2 R2 D F2 R' D' L2 F' L' D2 F L;2020-12-29 19:51:22;13.56
170;11.14;;R2 F2 D' U' L2 B' D R F' U2 B2 D U R' B';2020-12-29 19:51:46;11.14
171;13.28;;R2 F' R B' L U B' U L2 F2 D L2 B2 D L2 B2 R2 D2 L2 B' R';2020-12-29 19:52:16;13.28
172;12.55;;R2 U2 B2 D2 F U2 B L2 U2 B2 D F2 R' U' L U2 R D R2;2020-12-29 19:52:54;12.55
173;16.03;;B' D2 F2 D' L2 U2 R2 B2 L2 D' F2 L F U L2 R' B R2 D' F2;2020-12-29 19:53:19;16.03
174;11.86;;L2 B2 D2 R2 D2 R2 F2 D' F2 D' R2 U' L' B' R2 D' U2 R2 U F U';2020-12-29 19:53:56;11.86
175;13.18;;B2 L F' R2 B D2 B' D2 U2 R2 U2 F' L2 R' U' F' D L R F2;2020-12-29 19:54:25;13.18
176;12.20;;B2 L' D2 L D2 L' B2 F2 R' D2 R' U2 F U' R2 D' B R' B2 D';2020-12-29 19:54:50;12.20
177;11.68;;B2 L D' F L U' F' R U L2 B2 U' D2 F2 D' R2 D F2 R2 D2 B';2020-12-29 19:55:59;11.68
178;14.51;;F2 U2 B L2 B R2 F' D2 R2 D' L' U' B R2 B' D' B' F2;2020-12-29 19:56:24;14.51
179;13.62;;F2 D2 L F2 R' U2 B2 L B2 R' F2 U B2 R2 B R D F' U B;2020-12-29 19:56:52;13.62
180;10.94;;B2 R2 U2 R2 U B2 F2 D' U2 F2 U B D2 L' F' R U' B U2 F D;2020-12-29 19:57:19;10.94
181;12.30;;U' B' D2 B' L2 B2 R2 B L2 U2 B' D2 F2 R' B' D U' F R2;2020-12-29 19:57:45;12.30
182;13.86;;L2 U' R2 F2 U R2 U R2 F2 U2 R B' U2 F' R' F2 D' B U2 R;2020-12-29 19:58:10;13.86
183;13.47;;U' B R' F2 R2 B2 U' F2 D2 B2 U' L2 D2 L U' B L2 R' B2 F';2020-12-29 19:58:35;13.47
184;12.74;;F D' F2 R2 D2 F2 D L2 D R2 F2 R2 B L' F' R2 U' F2 D B R;2020-12-29 19:59:01;12.74
185;13.05;;D' B' L2 D B2 R2 D F2 D2 L2 U' L2 U2 R2 B F2 L' U R F';2020-12-29 19:59:23;13.05
186;13.01;;U2 L2 F2 U' R2 B2 L2 U R2 D U F' L B' D2 B' R' U2 B2 U2;2020-12-29 19:59:48;13.01
